"","...1","Species","Colony","depth","Site","File","Time","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","fv_fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv_Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s"
"1032",1032,"Porites",1,35,"Jpn Gdn",20220715.01,"AM","7/15/2022",23342,243.8,17.9,24.6,15.38,961.9,1834.8,872.9,0.476,504.6,0.14,0.64,987,0.17,3552,0.19,50000,"--------","-------",1527,10928,0,1968.1,2154,185.9,0.086,308,0,0.298,1530,0.696,15862,0.006,50000,"--------","-------",11565,11794,86.5
"1033",1033,"Porites",1,35,"Jpn Gdn",20220715.01,"AM","7/15/2022",23350,279.5,17.8,24.7,15.38,1016.7,1906.9,890.2,0.467,559.3,0.21,0.53,898,0.27,2466,0.2,50000,"--------","-------",1434,11044,0,2082.6,2213.1,130.5,0.059,427.9,0.16,0.77,51,0.227,10289,0.003,50000,"--------","-------",2385,2521,419.3
"1034",1034,"Porites",1,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23358,275.2,17.8,24.7,15.38,1003.4,1883.1,879.6,0.467,525.7,0.2,0.61,928,0.21,3190,0.18,52166,"--------","-------",1520,10652,0,2012.7,2173.6,160.9,0.074,398.2,0,0.265,1647,0.731,13837,0.004,50000,"--------","-------",10596,10753,94.4
"1035",1035,"Stylophora",3,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23387,465.3,17.9,24.6,15.37,565.5,1197.5,632.1,0.528,466.4,0.12,0.53,767,0.29,2901,0.18,50000,"--------","-------",1526,10181,0,1268.6,1417.1,148.6,0.105,202.6,0,0.311,1500,0.683,14751,0.006,50000,"--------","-------",10604,10823,94.3
"1036",1036,"Stylophora",3,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23401,518,17.9,24.7,15.36,313.1,662.1,348.9,0.527,369.5,0.24,0.44,127,0.42,1790,0.15,50000,"--------","-------",936,8131,0,776.1,875,98.9,0.113,171.6,0.11,0.377,1432,0.618,14713,0.005,50000,"--------","-------",9683,9903,103.3
"1037",1037,"Stylophora",3,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23411,347.3,17.8,24.7,15.36,487.8,1024.5,536.8,0.524,473.1,0.12,0.37,324,0.47,1922,0.16,50000,"--------","-------",1220,9110,0,1193.1,1346.3,153.2,0.114,184.3,0.04,0.326,1442,0.666,16540,0.008,50000,"--------","-------",11573,11871,86.4
"1038",1038,"Stylophora",3,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23426,351.5,17.9,24.6,15.36,504.6,1068.1,563.4,0.528,500.5,0.2,0.48,726,0.33,2817,0.18,50000,"--------","-------",1577,10486,0,1005.2,1148.9,143.7,0.125,212.9,0,0.354,1506,0.64,15063,0.006,50000,"--------","-------",10232,10471,97.7
"1039",1039,"Stylophora",3,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23432,371.8,18,24.7,15.35,297.5,625.8,328.4,0.525,426.8,0.1,0.62,1051,0.21,6137,0.18,50000,"--------","-------",2334,10729,0,730.6,842.8,112.2,0.133,207.6,0,0.404,1535,0.59,14516,0.006,50000,"--------","-------",9240,9472,108.2
"1040",1040,"Leptoseris",1,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23482,260.3,17.7,24.6,15.34,1018.9,1968.2,949.3,0.482,564.3,0.23,0.66,1035,0.17,4710,0.17,50000,"--------","-------",1778,10043,0,1936.1,2152.6,216.5,0.101,295.9,0.01,0.288,1577,0.705,15431,0.006,50000,"--------","-------",11410,11656,87.6
"1041",1041,"Leptoseris",1,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23490,253.2,17.7,24.7,15.34,1035.3,1944.9,909.7,0.468,638.1,0.29,0.64,1099,0.16,4243,0.2,50000,"--------","-------",1726,11253,0,2018.8,2168.3,149.6,0.069,383.4,0.01,0.238,1765,0.758,14427,0.004,50000,"--------","-------",11399,11558,87.7
"1042",1042,"Leptoseris",1,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23499,375.2,17.7,24.8,15.33,819.9,1631.3,811.3,0.497,509.4,0.28,0.63,943,0.19,4245,0.18,50000,"--------","-------",1706,10463,0,1886.1,2051,164.9,0.08,258.2,0.06,0.173,1465,0.79,12952,0.037,50000,"--------","-------",10885,12336,91.9
"1043",1043,"Leptoseris",1,35,"Jpn Gdn",20220715.02,"AM","7/15/2022",23508,295.7,17.7,24.8,15.33,871.4,1725.7,854.3,0.495,480.1,0.19,0.67,980,0.16,4829,0.17,51877,"--------","-------",1721,10158,0,1744.1,1969.7,225.6,0.115,233.8,0,0.292,1449,0.701,15826,0.007,50000,"--------","-------",11596,11848,86.2
"1044",1044,"Leptoseris",1,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23516,203,17.7,24.8,15.33,1004.3,1902,897.7,0.472,643,0.26,0.69,1122,0.14,6050,0.17,52020,"--------","-------",1969,10494,0,1890.8,2118.3,227.5,0.107,292.3,0,0.292,1618,0.702,15583,0.006,50000,"--------","-------",11476,11716,87.1
"1045",1045,"Leptoseris",2,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23525,238.9,17.7,24.8,15.33,1002.8,1932.5,929.7,0.481,547.1,0.19,0.66,1065,0.17,5178,0.17,56299,"--------","-------",1916,11254,0,1932.7,2122.1,189.4,0.089,277.6,0,0.26,1638,0.735,15675,0.005,50000,"--------","-------",12011,12210,83.3
"1046",1046,"Leptoseris",2,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23534,262.2,17.7,24.9,15.32,959,1836.3,877.3,0.478,539,0.23,0.67,1102,0.16,6191,0.17,56762,"--------","-------",2077,11270,0,1837.3,2045.5,208.3,0.102,259.1,0,0.289,1684,0.704,15199,0.006,50000,"--------","-------",11263,11510,88.8
"1047",1047,"Leptoseris",2,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23543,275,17.7,24.8,15.32,871.2,1705.2,834,0.489,499.9,0.21,0.6,1006,0.22,3856,0.18,51095,"--------","-------",1768,10863,0,1797.8,1997.7,200,0.1,258.2,0,0.266,1634,0.728,15054,0.006,50000,"--------","-------",11456,11688,87.3
"1048",1048,"Leptoseris",2,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23552,186.3,17.7,24.9,15.32,920,1815.7,895.8,0.493,583.3,0.21,0.68,1031,0.18,6013,0.15,61828,"--------","-------",2058,10894,0,1859,2109.5,250.5,0.119,286.1,0,0.33,1679,0.663,16420,0.007,50000,"--------","-------",11520,11784,86.8
"1049",1049,"Leptoseris",2,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23562,320.9,17.7,24.8,15.31,988.2,1904.6,916.4,0.481,559.5,0.23,0.66,1068,0.16,5111,0.17,53874,"--------","-------",1869,10824,0,1976.8,2118.4,141.5,0.067,269.7,0,0.184,1627,0.812,14404,0.004,50000,"--------","-------",12042,12179,83
"1050",1050,"Stylophora",4,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23605,368.3,17.7,24.6,15.3,491.2,1026.6,535.4,0.521,426.2,0.18,0.54,694,0.28,3629,0.18,50000,"--------","-------",1707,10179,0,1064.5,1221.3,156.7,0.128,178.5,0.03,0.33,1368,0.662,16489,0.008,50000,"--------","-------",11457,11746,87.3
"1051",1051,"Stylophora",4,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23619,347.4,17.6,24.5,15.3,408.1,860.8,452.7,0.526,368.3,0.19,0.43,179,0.42,1892,0.15,50000,"--------","-------",1022,8403,0,987.6,1126.1,138.5,0.123,177.9,0.13,0.325,1396,0.667,17306,0.009,50000,"--------","-------",12094,12427,82.7
"1052",1052,"Stylophora",4,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23632,435.7,17.6,24.5,15.29,380.8,791.4,410.6,0.519,419.6,0.15,0.48,708,0.32,2965,0.2,50000,"--------","-------",1619,11212,0,729.7,823.9,94.1,0.114,191.2,0,0.364,1351,0.63,14792,0.005,50000,"--------","-------",9872,10087,101.3
"1053",1053,"Stylophora",4,35,"Jpn Gdn",20220715.03,"AM","7/15/2022",23639,370.2,17.6,24.5,15.29,379.7,752.3,372.6,0.495,383.7,0.08,0.65,1096,0.18,6953,0.17,50000,"--------","-------",2364,10238,0,893.5,1029.3,135.7,0.132,184.2,0.01,0.348,1369,0.645,15580,0.007,50000,"--------","-------",10601,10871,94.3
"1054",1054,"Stylophora",4,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23654,453.1,17.7,24.6,15.28,399.2,868.9,469.8,0.541,384.5,0.22,0.42,168,0.42,1846,0.15,50000,"--------","-------",1007,8380,0,1116.7,1264.5,147.8,0.117,184.5,0,0.287,1230,0.707,14915,0.006,50000,"--------","-------",10964,11192,91.2
"1055",1055,"Leptoseris",3,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23687,317.2,17.8,24.5,15.28,828.5,1552.4,723.8,0.466,412.5,0.05,0.68,963,0.14,5832,0.18,50000,"--------","-------",1784,10506,0,1752.7,1932.7,180,0.093,185.8,0,0.229,1356,0.763,17260,0.008,50000,"--------","-------",13586,13882,73.6
"1056",1056,"Leptoseris",3,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23696,222,17.7,24.6,15.28,924.1,1754.7,830.6,0.473,435.5,0.04,0.6,828,0.21,3153,0.18,50000,"--------","-------",1439,10319,0,1758.9,1996.2,237.2,0.119,193.1,0,0.28,1312,0.71,18439,0.01,50000,"--------","-------",13593,13954,73.6
"1057",1057,"Leptoseris",3,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23704,206,17.8,24.7,15.27,930.6,1747.9,817.3,0.468,444.6,0.06,0.66,939,0.16,4825,0.18,50000,"--------","-------",1694,10425,0,1926.7,2116.1,189.4,0.09,214.1,0,0.202,1422,0.789,17805,0.009,50000,"--------","-------",14460,14778,69.2
"1058",1058,"Leptoseris",3,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23714,206.2,17.8,24.7,15.27,962,1760.3,798.3,0.454,430.3,0.03,0.69,1009,0.14,6540,0.17,52814,"--------","-------",1952,10354,0,1938.2,2116,177.8,0.084,222.5,0,0.23,1467,0.761,17692,0.008,50000,"--------","-------",13920,14226,71.8
"1059",1059,"Leptoseris",3,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23725,334.3,17.8,24.7,15.27,790.4,1470.1,679.8,0.462,384.8,0.05,0.69,988,0.13,5533,0.18,50000,"--------","-------",1711,10406,0,1298.6,1451.2,152.7,0.105,168.1,0.11,0.263,1385,0.729,17731,0.009,50000,"--------","-------",13400,13714,74.6
"1060",1060,"Stylophora",5,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23763,300.3,17.9,24.5,15.25,648.2,1397.5,749.3,0.536,433.6,0.12,0.62,876,0.21,5034,0.17,50000,"--------","-------",1942,9941,0,1604.4,1809.7,205.4,0.113,202.5,0,0.216,1226,0.777,16269,0.008,50000,"--------","-------",12998,13278,76.9
"1061",1061,"Stylophora",5,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23777,592.5,17.9,24.5,15.25,390.2,853.5,463.4,0.543,340.1,0.14,0.41,315,0.42,2373,0.17,50000,"--------","-------",1353,9406,0,1021.1,1140.6,119.5,0.105,186.6,0,0.232,1330,0.763,14299,0.005,50000,"--------","-------",11276,11483,88.7
"1062",1062,"Stylophora",5,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23806,421.6,17.9,24.5,15.24,387.9,888.2,500.3,0.563,385.1,0.18,0.45,132,0.41,1618,0.14,50000,"--------","-------",835,7816,0,1018.2,1142.8,124.6,0.109,190.6,0,0.242,1318,0.752,15030,0.006,50000,"--------","-------",11694,11925,85.5
"1063",1063,"Stylophora",5,35,"Jpn Gdn",20220715.04,"AM","7/15/2022",23818,300.4,17.9,24.5,15.24,757.2,1637.3,880.1,0.538,452.1,0.15,0.54,605,0.31,3264,0.15,50000,"--------","-------",1586,8952,0,1784.6,2016.3,231.7,0.115,242.5,0.04,0.161,1259,0.794,14439,0.045,50000,"--------","-------",12215,13899,81.9
"1064",1064,"Stylophora",5,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23829,317.5,17.9,24.4,15.24,703.1,1552.9,849.7,0.547,439.9,0.09,0.51,528,0.33,3111,0.15,50000,"--------","-------",1548,9033,0,1746.4,1943.7,197.4,0.102,217.3,0,0.175,1318,0.819,16563,0.006,50000,"--------","-------",13882,14095,72
"1065",1065,"Porites",2,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23849,265.1,17.7,24.4,15.23,907.4,1597.1,689.7,0.432,575.8,0.22,0.58,840,0.23,3185,0.19,50000,"--------","-------",1516,10554,0,1806.7,1996.9,190.2,0.095,234.4,0.16,0.24,1404,0.7,16212,0.06,50000,"--------","-------",12428,14682,80.5
"1066",1066,"Porites",2,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23858,385.9,17.7,24.4,15.23,733.8,1407.9,674.1,0.479,450.2,0.12,0.45,404,0.41,1966,0.15,50000,"--------","-------",1149,8259,0,1352.4,1556.1,203.6,0.131,206.1,0,0.323,1305,0.671,15668,0.006,50000,"--------","-------",11007,11248,90.8
"1067",1067,"Porites",2,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23868,415.8,17.8,24.4,15.23,734.4,1406.4,672,0.478,437.6,0.11,0.48,634,0.34,2241,0.18,50000,"--------","-------",1292,10051,0,1525.6,1725.4,199.8,0.116,202.4,0,0.267,1218,0.727,15388,0.006,50000,"--------","-------",11584,11815,86.3
"1068",1068,"Porites",2,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23880,334.2,17.6,24.5,15.23,659.7,1175.7,516,0.439,503.7,0.21,0.41,248,0.44,1826,0.15,50000,"--------","-------",1061,8321,0,1528.6,1701.8,173.2,0.102,199.4,0,0.266,1342,0.727,15925,0.007,50000,"--------","-------",12019,12270,83.2
"1069",1069,"Porites",2,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23889,317.7,17.6,24.5,15.22,1291,2000.5,709.5,0.355,818.2,0.34,0.59,973,0.22,2298,0.19,50209,"--------","-------",1330,10454,0,2126,2197.2,71.2,0.032,602.9,0.51,0.761,45,0.239,7524,0,50000,"--------","-------",1833,1857,545.4
"1070",1070,"Porites",3,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23922,261.4,17.3,24.4,15.21,947,1607.6,660.6,0.411,542.9,0.22,0.54,863,0.26,3438,0.2,50000,"--------","-------",1698,11152,0,2032.3,2154.9,122.7,0.057,216.6,0.3,0.368,85,0.622,11439,0.01,50000,"--------","-------",7218,7666,138.6
"1071",1071,"Porites",3,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23932,250.6,17.3,24.4,15.21,809.6,1516.7,707.1,0.466,530.1,0.17,0.55,891,0.27,4423,0.18,50000,"--------","-------",2059,10698,0,1527.8,1715.1,187.3,0.109,305.5,0.01,0.289,1749,0.706,14783,0.005,50000,"--------","-------",10992,11176,91
"1072",1072,"Porites",3,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23940,408.3,17.3,24.4,15.21,976.4,1763.1,786.7,0.446,491.9,0.18,0.72,1026,0.16,8708,0.12,94882,"--------","-------",2401,13814,0,2113.9,2210.7,96.9,0.044,247.9,0.04,0.7,42,0.297,10058,0.003,50000,"--------","-------",3023,3177,330.8
"1073",1073,"Porites",3,35,"Jpn Gdn",20220715.05,"AM","7/15/2022",23949,285.8,17.4,24.4,15.21,957.3,1594.9,637.6,0.4,541,0.25,0.53,775,0.29,2710,0.18,55480,"--------","-------",1466,10995,0,1974.5,2125.5,151,0.071,154.7,0.13,0.377,85,0.606,11689,0.017,50000,"--------","-------",7240,7962,138.1
"1074",1074,"Porites",3,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",23959,372,17.3,24.4,15.2,1143.9,1939.4,795.4,0.41,608.4,0.25,0.71,1040,0.16,7209,0.14,85496,"--------","-------",2152,13548,0,2112.9,2192.4,79.5,0.036,623.7,0.46,0.724,48,0.276,8101,0,50000,"--------","-------",2270,2281,440.5
"1075",1075,"Leptoseris",4,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24005,260.4,17.6,24.4,15.19,1050.3,2009.4,959.1,0.477,608.2,0.17,0.61,991,0.21,4491,0.18,50000,"--------","-------",1900,10610,0,1878.6,2036.7,158.1,0.078,225.9,0,0.19,1372,0.804,17474,0.007,50000,"--------","-------",14401,14633,69.4
"1076",1076,"Leptoseris",4,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24014,184.9,17.6,24.5,15.19,880.8,1755.5,874.7,0.498,507.7,0.2,0.66,861,0.17,6052,0.17,50000,"--------","-------",1945,10144,0,1635.3,1881.7,246.4,0.131,213,0,0.324,1291,0.666,19039,0.01,50000,"--------","-------",13237,13600,75.5
"1077",1077,"Leptoseris",4,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24023,194.1,17.6,24.5,15.19,718.9,1477.9,759,0.514,475.5,0.11,0.61,793,0.2,3921,0.19,50000,"--------","-------",1583,10710,0,1757.3,1997.4,240.1,0.12,234,0,0.258,1408,0.732,18566,0.01,50000,"--------","-------",14089,14457,71
"1078",1078,"Leptoseris",4,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24031,224.1,17.6,24.5,15.19,920.6,1796.1,875.4,0.487,515.3,0.12,0.66,929,0.18,6522,0.15,58389,"--------","-------",2141,10856,0,1728.9,1941.7,212.8,0.11,233.7,0.09,0.184,1236,0.737,17320,0.079,50000,"--------","-------",14102,16945,70.9
"1079",1079,"Leptoseris",4,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24039,142.3,17.6,24.5,15.19,1016.2,1958.6,942.4,0.481,551,0.13,0.52,819,0.28,2918,0.19,50000,"--------","-------",1557,10983,0,1865.8,2140.6,274.7,0.128,286,0,0.353,1372,0.637,19106,0.011,50000,"--------","-------",12784,13175,78.2
"1080",1080,"Leptoseris",5,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24058,271,17.5,24.5,15.18,742.7,1493.6,750.8,0.503,494.4,0.23,0.45,629,0.36,2241,0.19,50000,"--------","-------",1337,10569,0,1791.4,1972.6,181.3,0.092,219.6,0,0.195,1314,0.798,17749,0.008,50000,"--------","-------",14522,14793,68.9
"1081",1081,"Leptoseris",5,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24067,189.7,17.6,24.5,15.18,947.1,1803,855.9,0.475,579.8,0.28,0.66,968,0.16,6352,0.17,54353,"--------","-------",2039,11117,0,1874.1,2080.2,206.1,0.099,235.6,0,0.255,1224,0.735,19562,0.011,50000,"--------","-------",14842,15225,67.4
"1082",1082,"Leptoseris",5,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24077,149.7,17.6,24.6,15.17,829.9,1634.1,804.3,0.492,558.8,0.25,0.53,759,0.27,2777,0.2,50000,"--------","-------",1442,11207,0,1709.1,1959.2,250.1,0.128,222.8,0,0.329,1294,0.661,19683,0.011,50000,"--------","-------",13570,13956,73.7
"1083",1083,"Leptoseris",5,35,"Jpn Gdn",20220715.06,"AM","7/15/2022",24086,236,17.6,24.6,15.17,676.9,1351.8,674.9,0.499,495.4,0.26,0.48,590,0.36,2685,0.16,50000,"--------","-------",1479,9217,0,1474,1673.7,199.7,0.119,218.9,0,0.274,1394,0.717,17919,0.009,50000,"--------","-------",13355,13691,74.9
"1084",1084,"Leptoseris",5,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24095,170.8,17.6,24.6,15.16,839.1,1622.3,783.2,0.483,550.1,0.28,0.51,639,0.33,3205,0.15,51208,"--------","-------",1646,9326,0,1697.1,1938.4,241.3,0.124,233.5,0,0.299,1459,0.69,19045,0.011,50000,"--------","-------",13737,14135,72.8
"1085",1085,"Porites",4,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24130,636,17.2,24.4,15.16,902.6,1720.2,817.6,0.475,547.5,0.22,0.36,396,0.46,2126,0.18,50000,"--------","-------",1361,9955,0,1965,2083.4,118.3,0.057,317,0.01,0.093,1045,0.906,10706,0.002,50000,"--------","-------",9810,9870,101.9
"1086",1086,"Porites",4,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24138,445.2,17.4,24.4,15.16,1021.2,1818.8,797.6,0.439,605.4,0.22,0.39,421,0.45,2057,0.16,52304,"--------","-------",1301,9626,0,2081.3,2177.4,96,0.044,1320.9,0,0.187,114,0.81,7564,0.003,50000,"--------","-------",6168,6309,162.1
"1087",1087,"Porites",4,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24147,289.5,17.5,24.4,15.15,988.8,1788.9,800.1,0.447,502.4,0.16,0.57,852,0.23,3210,0.2,50000,"--------","-------",1537,11012,0,1727.6,1946.5,218.8,0.112,238.8,0.06,0.204,1148,0.745,15145,0.051,50000,"--------","-------",12134,14056,82.4
"1088",1088,"Porites",4,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24157,364.8,17.4,24.4,15.15,999.6,1756.3,756.7,0.431,591.1,0.31,0.72,951,0.17,11390,0.11,98426,"--------","-------",2934,12995,0,1964.3,2119.6,155.3,0.073,290.5,0.01,0.16,1656,0.837,13111,0.003,50000,"--------","-------",11269,11373,88.7
"1089",1089,"Porites",4,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24167,393.3,17.3,24.4,15.15,1234.6,2044.1,809.5,0.396,802.7,0.34,0.6,993,0.21,2723,0.19,51927,"--------","-------",1448,11104,0,2092.7,2180.5,87.8,0.04,1713.6,0.47,0.079,116,0.921,6908,0,50000,"--------","-------",6371,6375,157
"1090",1090,"Porites",5,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24205,275.3,17.9,24.4,15.14,996.2,1753.2,757,0.432,532.2,0.26,0.52,727,0.35,3133,0.13,84954,"--------","-------",1701,12585,0,1625.4,1856.2,230.9,0.124,224.6,0,0.314,1399,0.68,15774,0.006,50000,"--------","-------",11232,11483,89
"1091",1091,"Porites",5,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24214,467.8,17.9,24.4,15.14,870,1620.2,750.1,0.463,479.8,0.25,0.58,638,0.31,3252,0.11,68320,"--------","-------",1543,9131,0,1781.4,1881.7,100.3,0.053,271.4,0,0.119,1299,0.879,12687,0.002,50000,"--------","-------",11327,11416,88.3
"1092",1092,"Porites",5,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24226,311.7,18,24.4,15.14,910.2,1729.3,819,0.474,452.6,0.15,0.51,512,0.35,2739,0.14,60521,"--------","-------",1411,9492,0,1633.2,1894.3,261.1,0.138,227.5,0,0.321,1047,0.674,14504,0.006,50000,"--------","-------",10165,10390,98.4
"1093",1093,"Porites",5,35,"Jpn Gdn",20220715.07,"AM","7/15/2022",24236,268.2,18,24.4,15.13,971.9,1741.9,770,0.442,520.3,0.22,0.73,942,0.15,9121,0.12,84273,"--------","-------",2368,11936,0,1807,2024.5,217.5,0.107,240.1,0,0.263,1291,0.73,16903,0.008,50000,"--------","-------",12771,13065,78.3
"1094",1094,"Porites",5,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24248,583.1,17.9,24.4,15.13,793.9,1464.4,670.5,0.458,527.1,0.35,0.63,854,0.2,4113,0.16,51965,"--------","-------",1638,9886,0,2001.1,2123.3,122.2,0.058,319.4,0.01,0.144,1629,0.855,10597,0.002,50000,"--------","-------",9308,9385,107.4
"1095",1095,"Stylophora",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24284,408.2,17.9,24.4,15.13,860.7,1865.4,1004.7,0.539,447.5,0.09,0.46,380,0.39,2258,0.15,50000,"--------","-------",1247,8606,0,2006.8,2152.3,145.5,0.068,312.3,0.01,0.117,988,0.881,12547,0.002,50000,"--------","-------",11188,11268,89.4
"1096",1096,"Stylophora",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24293,649.3,17.9,24.4,15.12,346.1,776.7,430.6,0.554,326.1,0.24,0.53,157,0.36,2074,0.1,50000,"--------","-------",930,6040,0,819.6,922,102.4,0.111,176.3,0.06,0.263,548,0.731,13674,0.006,50000,"--------","-------",10202,10434,98
"1097",1097,"Stylophora",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24301,454.5,17.9,24.4,15.12,602,1335.5,733.6,0.549,392.9,0.18,0.56,158,0.37,1792,0.07,50000,"--------","-------",806,4492,0,1546.1,1726.8,180.7,0.105,203.6,0,0.188,844,0.806,14584,0.006,50000,"--------","-------",11992,12222,83.4
"1098",1098,"Stylophora",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24310,459,17.9,24.4,15.12,536.7,1204.2,667.5,0.554,412.4,0.1,0.41,291,0.41,1448,0.18,50000,"--------","-------",871,9520,0,1297.3,1469.8,172.5,0.117,205.8,0,0.216,999,0.779,13949,0.005,50000,"--------","-------",11141,11337,89.8
"1099",1099,"Stylophora",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24321,360,17.9,24.5,15.12,485.2,1059,573.8,0.542,398.5,0.16,0.65,618,0.19,4504,0.16,50000,"--------","-------",1483,9444,0,1135.2,1296.4,161.3,0.124,190,0,0.274,741,0.718,16373,0.008,50000,"--------","-------",12060,12365,82.9
"1100",1100,"Porites",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24342,314.1,17.6,24.4,15.11,952.7,1760.4,807.7,0.459,555,0.24,0.7,1029,0.18,9480,0.13,87872,"--------","-------",2761,13441,0,1876.4,2048.8,172.4,0.084,312.6,0,0.223,1649,0.773,14104,0.004,50000,"--------","-------",11315,11481,88.4
"1101",1101,"Porites",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24351,272.4,17.7,24.4,15.11,622.6,1152.7,530.2,0.46,427.3,0.19,0.69,743,0.15,9456,0.16,50000,"--------","-------",2299,9886,0,1512,1650.3,138.2,0.084,253.1,0,0.29,1307,0.703,16994,0.007,50000,"--------","-------",12407,12673,80.6
"1102",1102,"Porites",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24361,469.1,17.6,24.4,15.1,893.6,1691.2,797.6,0.472,509,0.22,0.66,884,0.22,5163,0.12,67258,"--------","-------",1972,9864,0,2036.1,2181.2,145.1,0.067,269.6,0.18,0.648,44,0.349,8909,0.003,50000,"--------","-------",3146,3292,317.8
"1103",1103,"Porites",6,35,"Jpn Gdn",20220715.08,"AM","7/15/2022",24369,328.4,17.6,24.4,15.11,953.1,1809.7,856.6,0.473,494.3,0.2,0.69,1040,0.13,6423,0.18,52125,"--------","-------",1920,10814,0,2026.7,2160.6,133.9,0.062,405,0.01,0.209,1615,0.788,12211,0.003,50000,"--------","-------",9988,10109,100.1
"1104",1104,"Porites",6,35,"Jpn Gdn",20220715.09,"AM","7/15/2022",24378,458.2,17.7,24.4,15.1,829.6,1580.3,750.8,0.475,460.6,0.25,0.67,843,0.22,4608,0.1,105330,"--------","-------",1783,12374,0,1873.8,2045.3,171.5,0.084,309.2,0.01,0.311,1648,0.685,12744,0.004,50000,"--------","-------",9276,9443,107.8
"1105",1105,"Leptoseris",6,35,"Jpn Gdn",20220715.09,"AM","7/15/2022",24409,320.7,17.5,24.4,15.1,956,1926.8,970.8,0.504,624.4,0.12,0.48,740,0.34,1852,0.18,50000,"--------","-------",1199,10038,0,2130.6,2204.4,73.8,0.033,264.6,0,0.722,39,0.271,14940,0.006,50000,"--------","-------",4107,4394,243.5
