"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"287","Leptastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"288","Leptoseris","MKN9004",0,"IUI-S","25","IUI-S_25"
"289","Lobophyllia","MKN9004",0,"IUI-S","25","IUI-S_25"
"290","Madracis","MKN9004",0,"IUI-S","25","IUI-S_25"
"291","Merulina","MKN9004",0,"IUI-S","25","IUI-S_25"
"292","Montipora","MKN9004",0,"IUI-S","25","IUI-S_25"
"293","Mycedium","MKN9004",0,"IUI-S","25","IUI-S_25"
"294","Oxypora","MKN9004",0,"IUI-S","25","IUI-S_25"
"295","Pachyseris","MKN9004",0,"IUI-S","25","IUI-S_25"
"296","Paramontastraea","MKN9004",0,"IUI-S","25","IUI-S_25"
"297","Pavona","MKN9004",0,"IUI-S","25","IUI-S_25"
"298","Platygyra","MKN9004",0,"IUI-S","25","IUI-S_25"
"299","Plerogyra","MKN9004",0,"IUI-S","25","IUI-S_25"
"300","Pocillopora","MKN9004",0,"IUI-S","25","IUI-S_25"
"301","Podbacia","MKN9004",0,"IUI-S","25","IUI-S_25"
"302","Porites","MKN9004",0,"IUI-S","25","IUI-S_25"
"303","Psammocora","MKN9004",0,"IUI-S","25","IUI-S_25"
"304","Sclerophyllia","MKN9004",0,"IUI-S","25","IUI-S_25"
"305","Seriatopora","MKN9004",0,"IUI-S","25","IUI-S_25"
"306","Siderastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"307","Stylophora","MKN9004",0,"IUI-S","25","IUI-S_25"
"308","Turbinaria","MKN9004",0,"IUI-S","25","IUI-S_25"
"309","Acanthastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"310","Acropora","MKN9006",1,"IUI-S","25","IUI-S_25"
"311","Alveopora","MKN9006",0,"IUI-S","25","IUI-S_25"
"312","Astrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"313","Astreopora","MKN9006",1,"IUI-S","25","IUI-S_25"
"314","Blastomussa","MKN9006",0,"IUI-S","25","IUI-S_25"
"315","Coscinaraea","MKN9006",0,"IUI-S","25","IUI-S_25"
"316","Cynarina","MKN9006",0,"IUI-S","25","IUI-S_25"
"317","Cyphastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"318","Dipsastraea","MKN9006",0,"IUI-S","25","IUI-S_25"
"319","Echinophyllia","MKN9006",0,"IUI-S","25","IUI-S_25"
"320","Echinopora","MKN9006",0,"IUI-S","25","IUI-S_25"
"321","Erythrastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"322","Euphyllia","MKN9006",0,"IUI-S","25","IUI-S_25"
"323","Favites","MKN9006",0,"IUI-S","25","IUI-S_25"
"324","Fungia","MKN9006",0,"IUI-S","25","IUI-S_25"
"325","Galaxea","MKN9006",0,"IUI-S","25","IUI-S_25"
"326","Goniastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"327","Goniopora","MKN9006",0,"IUI-S","25","IUI-S_25"
"328","Gyrosmilia","MKN9006",5,"IUI-S","25","IUI-S_25"
"329","HC","MKN9006",1,"IUI-S","25","IUI-S_25"
"330","Hydnophora","MKN9006",0,"IUI-S","25","IUI-S_25"
"331","Leptastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"332","Leptoseris","MKN9006",0,"IUI-S","25","IUI-S_25"
"333","Lobophyllia","MKN9006",0,"IUI-S","25","IUI-S_25"
"334","Madracis","MKN9006",0,"IUI-S","25","IUI-S_25"
"335","Merulina","MKN9006",0,"IUI-S","25","IUI-S_25"
"336","Montipora","MKN9006",0,"IUI-S","25","IUI-S_25"
"337","Mycedium","MKN9006",0,"IUI-S","25","IUI-S_25"
"338","Oxypora","MKN9006",0,"IUI-S","25","IUI-S_25"
"339","Pachyseris","MKN9006",0,"IUI-S","25","IUI-S_25"
"340","Paramontastraea","MKN9006",0,"IUI-S","25","IUI-S_25"
"341","Pavona","MKN9006",0,"IUI-S","25","IUI-S_25"
"342","Platygyra","MKN9006",1,"IUI-S","25","IUI-S_25"
"343","Plerogyra","MKN9006",0,"IUI-S","25","IUI-S_25"
"344","Pocillopora","MKN9006",0,"IUI-S","25","IUI-S_25"
"345","Podbacia","MKN9006",0,"IUI-S","25","IUI-S_25"
"346","Porites","MKN9006",1,"IUI-S","25","IUI-S_25"
"347","Psammocora","MKN9006",0,"IUI-S","25","IUI-S_25"
"348","Sclerophyllia","MKN9006",0,"IUI-S","25","IUI-S_25"
"349","Seriatopora","MKN9006",0,"IUI-S","25","IUI-S_25"
"350","Siderastrea","MKN9006",0,"IUI-S","25","IUI-S_25"
"351","Stylophora","MKN9006",4,"IUI-S","25","IUI-S_25"
"352","Turbinaria","MKN9006",0,"IUI-S","25","IUI-S_25"
"353","Acanthastrea","MKN9009",0,"IUI-S","25","IUI-S_25"
"354","Acropora","MKN9009",1,"IUI-S","25","IUI-S_25"
"355","Alveopora","MKN9009",0,"IUI-S","25","IUI-S_25"
"356","Astrea","MKN9009",0,"IUI-S","25","IUI-S_25"
